Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,No,Travel_Rarely,1070,Sales,6,1,Human Resources,1,1,4,Male,43,3,2,Laboratory Technician,4,Single,7648,8014,1,Y,No,13,3,3,80,1,20,4,2,20,3,3,1
36,No,Travel_Rarely,734,Sales,6,3,Medical,1,2,3,Female,56,4,1,Manager,3,Married,5527,26262,1,Y,No,17,3,3,80,0,18,3,3,4,2,0,2
43,No,Travel_Rarely,282,Human Resources,14,4,Medical,1,3,4,Male,57,3,2,Research Scientist,2,Single,6443,16181,4,Y,No,14,3,3,80,1,23,2,3,3,2,2,0
51,Yes,Travel_Rarely,1332,Human Resources,25,3,Life Sciences,1,4,2,Male,91,3,1,Laboratory Technician,1,Married,5048,5356,9,Y,Yes,11,3,4,80,0,33,1,3,4,4,0,4
35,No,Travel_Rarely,700,Research & Development,7,3,Technical Degree,1,5,3,Female,73,1,2,Manufacturing Director,4,Single,7425,12208,1,Y,Yes,16,3,2,80,2,15,3,2,5,0,0,5
35,No,Travel_Rarely,205,Sales,17,5,Life Sciences,1,6,1,Male,58,3,2,Research Scientist,4,Married,6861,10296,0,Y,No,18,4,2,80,0,17,2,3,7,4,0,6
51,No,Travel_Frequently,842,Sales,13,4,Other,1,7,3,Female,67,4,2,Research Scientist,1,Divorced,7303,7426,4,Y,Yes,11,3,4,80,2,32,4,3,11,0,0,1
44,No,Travel_Rarely,1006,Research & Development,5,3,Medical,1,8,4,Male,97,3,1,Research Director,4,Married,6454,25341,2,Y,Yes,12,3,3,80,0,25,1,3,4,0,0,1
33,No,Travel_Rarely,487,Research & Development,9,3,Life Sciences,1,9,4,Female,38,3,2,Healthcare Representative,3,Married,6350,24033,8,Y,No,19,3,4,80,0,15,3,4,12,2,2,0
42,No,Travel_Rarely,1220,Sales,11,3,Other,1,10,3,Male,45,3,1,Laboratory Technician,3,Single,5114,7054,1,Y,No,16,3,3,80,0,23,3,3,5,0,0,3
33,Yes,Travel_Frequently,1038,Research & Development,1,2,Life Sciences,1,11,4,Male,97,3,2,Manufacturing Director,1,Single,6107,10864,0,Y,Yes,16,3,3,80,0,15,3,3,3,3,1,2
33,No,Travel_Rarely,1011,Sales,6,4,Medical,1,12,4,Male,97,1,2,Sales Executive,4,Married,6192,21079,2,Y,Yes,18,3,1,80,1,15,2,2,8,2,1,2
39,No,Travel_Rarely,690,Human Resources,29,3,Medical,1,13,2,Male,42,4,2,Manufacturing Director,1,Married,6404,7287,0,Y,No,16,3,4,80,3,18,4,3,9,0,0,7
20,No,Travel_Rarely,1446,Research & Development,10,4,Life Sciences,1,14,4,Female,40,4,2,Laboratory Technician,4,Married,5863,16827,1,Y,No,15,3,3,80,0,0,3,3,0,0,0,0
21,Yes,Travel_Rarely,485,Research & Development,5,4,Medical,1,15,2,Female,59,3,1,Laboratory Technician,1,Single,5201,19522,0,Y,Yes,18,3,3,80,0,2,2,3,0,0,0,0
32,No,Travel_Rarely,909,Research & Development,4,4,Medical,1,16,4,Male,33,2,2,Research Scientist,4,Single,5363,18381,1,Y,Yes,14,3,2,80,0,11,3,4,1,1,1,0
28,Yes,Travel_Frequently,534,Research & Development,3,3,Marketing,1,17,1,Male,76,3,2,Sales Executive,1,Single,5887,19687,0,Y,Yes,15,3,4,80,0,7,3,3,2,2,0,1
40,Yes,Travel_Rarely,1142,Sales,6,2,Life Sciences,1,18,2,Female,35,2,1,Sales Executive,2,Divorced,5429,19694,8,Y,Yes,17,4,2,80,0,22,5,3,2,2,2,0
29,No,Travel_Rarely,169,Sales,3,4,Other,1,19,3,Female,34,3,3,Research Director,2,Single,8492,26122,1,Y,Yes,13,3,1,80,2,9,4,3,8,5,3,2
24,Yes,Travel_Rarely,166,Research & Development,2,3,Life Sciences,1,20,2,Male,64,2,1,Research Scientist,1,Married,5071,10724,1,Y,Yes,19,4,4,80,0,6,2,3,0,0,0,0
50,No,Travel_Rarely,1235,Research & Development,5,3,Life Sciences,1,21,1,Male,97,3,3,Laboratory Technician,3,Single,9593,23975,6,Y,No,16,4,4,80,1,29,2,4,10,1,0,1
35,No,Travel_Rarely,709,Research & Development,9,2,Life Sciences,1,22,3,Male,60,3,1,Sales Executive,2,Married,4650,2637,3,Y,Yes,12,4,3,80,0,17,6,3,2,2,1,2
38,No,Travel_Rarely,579,Research & Development,2,2,Life Sciences,1,23,4,Female,55,3,1,Sales Executive,4,Married,5782,9272,2,Y,No,14,4,4,80,0,19,2,3,3,3,1,1
